applicant_id,gender,age_group,state,annual_income,credit_score,default_history,loan_amount,repayment_status
US_0001,Non-Binary,26-35,CA,43778.53,704,0,6098.61,1
US_0002,Male,18-25,NY,29018.89,637,0,15000.87,0
US_0003,Non-Binary,26-35,IL,44838.79,654,0,6999.67,1
US_0004,Non-Binary,60+,TX,61261.79,719,1,13003.45,1
US_0005,Male,26-35,TX,45085.62,692,0,10374.58,1
US_0006,Male,46-60,CA,37076.03,576,0,10352.27,1
US_0007,Non-Binary,46-60,FL,46127.23,694,0,10886.05,1
US_0008,Female,46-60,CA,56914.33,712,1,5299.22,0
US_0009,Non-Binary,46-60,FL,29759.15,641,0,12415.98,1
US_0010,Non-Binary,60+,TX,34713.91,702,1,8722.64,0
US_0011,Non-Binary,36-45,CA,51905.18,750,0,13026,1
US_0012,Non-Binary,18-25,IL,31258.34,691,0,9621.91,0
US_0013,Male,46-60,NY,79176.73,650,1,9063.7,1
US_0014,Non-Binary,26-35,FL,47699.95,654,1,6771.96,1
US_0015,Female,46-60,NY,36395.19,676,1,8086.23,1
US_0016,Male,26-35,NY,37739.69,690,0,11055.78,1
US_0017,Female,26-35,CA,42753.16,678,0,6730.21,1
US_0018,Female,46-60,NY,41452.57,695,0,5023.5,1
US_0019,Female,60+,IL,18626,669,1,7856.13,1
US_0020,Female,26-35,NY,68956.11,682,0,12100.01,1
US_0021,Male,26-35,CA,49767.75,714,0,14453.23,1
US_0022,Male,46-60,IL,49589.35,632,0,8306.46,1
US_0023,Female,26-35,TX,62268.1,679,0,6127.93,1
US_0024,Female,26-35,NY,34180.93,679,0,9142.18,0
US_0025,Male,46-60,CA,38625.09,712,0,10459.64,1
US_0026,Male,46-60,TX,56861.23,666,0,11444.74,1
US_0027,Male,18-25,TX,49034.33,701,1,15336.6,1
US_0028,Non-Binary,60+,FL,55173.54,719,1,10567.12,1
US_0029,Non-Binary,60+,IL,48798.69,601,0,14138.65,1
US_0030,Non-Binary,26-35,NY,46379.3,722,0,8842.69,1
US_0031,Female,60+,CA,71502.73,636,0,10216.41,1
US_0032,Non-Binary,26-35,FL,65986.91,631,0,8517.79,0
US_0033,Female,18-25,IL,12518.61,560,0,8299.99,1
US_0034,Female,46-60,FL,72204.93,643,0,9341.49,1
US_0035,Non-Binary,46-60,IL,82380.93,675,0,9298.36,1
US_0036,Female,46-60,IL,68476.68,660,1,8490.06,1
US_0037,Non-Binary,60+,NY,46785.13,656,0,8626.87,0
US_0038,Non-Binary,18-25,IL,39662.09,631,1,12741.99,1
US_0039,Male,60+,FL,60917.5,710,0,15282.78,1
US_0040,Non-Binary,60+,IL,40713.96,713,0,8753.98,0
US_0041,Male,18-25,NY,55342.4,692,0,9189.01,1
US_0042,Non-Binary,18-25,NY,49671.79,600,0,11311.52,1
US_0043,Non-Binary,18-25,FL,68270.76,766,0,17967.58,1
US_0044,Male,18-25,TX,44158.13,681,0,10210.41,1
US_0045,Male,46-60,TX,43357.96,697,0,12431.58,1
US_0046,Non-Binary,36-45,IL,55673.4,615,0,13861.19,0
US_0047,Female,36-45,CA,79007.6,675,0,10860.17,0
US_0048,Male,18-25,IL,51214.56,692,0,12315.58,1
US_0049,Female,36-45,FL,43753.15,669,0,11519.6,1
US_0050,Female,36-45,FL,62862.55,710,0,12581.28,1
